age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
46,local-gov,some-college,10,married-civ-spouse,protective-serv,husband,white,male,0,0,38,united-states,>50K
48,private,hs-grad,9,never-married,prof-specialty,unmarried,black,female,0,0,28,united-states,<=50K
33,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50K
21,private,some-college,10,never-married,handlers-cleaners,own-child,white,female,0,0,40,united-states,<=50K
27,private,hs-grad,9,divorced,adm-clerical,unmarried,white,female,0,0,45,united-states,<=50K
31,private,hs-grad,9,divorced,transport-moving,not-in-family,white,male,0,0,40,united-states,<=50K
28,private,bachelors,13,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50K
45,local-gov,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,38,united-states,<=50K
51,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,4386,0,40,united-states,>50K
46,state-gov,hs-grad,9,never-married,other-service,not-in-family,black,female,0,0,40,united-states,<=50K
25,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,25,el-salvador,<=50K
61,private,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,7688,0,40,united-states,>50K
17,private,11th,7,never-married,sales,own-child,white,female,0,0,30,united-states,<=50K
26,private,bachelors,13,never-married,craft-repair,not-in-family,white,male,3325,0,40,united-states,<=50K
35,private,10th,6,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,<=50K
33,self-emp-not-inc,11th,7,married-civ-spouse,exec-managerial,husband,white,male,0,0,70,united-states,<=50K
37,private,12th,8,married-civ-spouse,sales,wife,asian-pac-islander,female,0,0,33,united-states,<=50K
39,local-gov,hs-grad,9,never-married,adm-clerical,own-child,white,female,0,0,35,united-states,<=50K
42,private,hs-grad,9,divorced,other-service,unmarried,white,female,0,0,30,united-states,<=50K
35,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,4386,0,47,united-states,>50K
45,private,hs-grad,9,divorced,tech-support,not-in-family,white,female,0,0,50,united-states,>50K
47,self-emp-inc,bachelors,13,never-married,sales,own-child,white,male,0,0,40,united-states,>50K
64,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,48,united-states,<=50K
39,private,prof-school,15,married-civ-spouse,exec-managerial,wife,white,female,15024,0,47,united-states,>50K
43,private,hs-grad,9,divorced,prof-specialty,unmarried,white,female,0,0,40,united-states,<=50K
62,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,3103,0,40,united-states,>50K
53,private,some-college,10,married-civ-spouse,prof-specialty,husband,white,male,15024,0,40,united-states,>50K
31,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50K
26,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,<=50K
56,self-emp-inc,7th-8th,4,married-civ-spouse,craft-repair,husband,white,male,0,0,50,united-states,>50K
43,private,some-college,10,never-married,other-service,not-in-family,white,female,0,0,40,united-states,<=50K
33,private,some-college,10,never-married,sales,not-in-family,black,male,0,0,35,united-states,<=50K
45,self-emp-not-inc,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,1485,40,united-states,>50K
46,private,some-college,10,separated,sales,not-in-family,white,male,0,0,55,united-states,<=50K
26,private,assoc-voc,11,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,80,united-states,<=50K
24,private,hs-grad,9,never-married,other-service,own-child,white,female,0,0,40,mexico,<=50K
43,private,bachelors,13,married-civ-spouse,farming-fishing,husband,white,male,0,0,50,united-states,>50K
40,private,assoc-voc,11,never-married,machine-op-inspct,own-child,white,male,0,0,40,united-states,<=50K
61,private,7th-8th,4,divorced,other-service,not-in-family,white,male,0,0,35,united-states,<=50K
34,federal-gov,some-college,10,never-married,adm-clerical,not-in-family,black,female,0,0,72,united-states,<=50K
85,private,hs-grad,9,widowed,sales,unmarried,white,male,0,0,35,united-states,<=50K
31,state-gov,assoc-acdm,12,never-married,adm-clerical,not-in-family,white,female,3325,0,35,united-states,<=50K
22,private,some-college,10,never-married,sales,own-child,white,female,0,0,30,united-states,<=50K
60,private,hs-grad,9,widowed,other-service,unmarried,black,female,0,0,40,united-states,<=50K
29,private,assoc-acdm,12,divorced,prof-specialty,not-in-family,white,female,0,0,36,united-states,<=50K
35,state-gov,bachelors,13,never-married,exec-managerial,not-in-family,asian-pac-islander,female,2977,0,45,united-states,<=50K
24,private,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,30,united-states,<=50K
45,local-gov,masters,14,divorced,prof-specialty,not-in-family,black,male,0,0,40,united-states,<=50K
21,local-gov,12th,8,never-married,other-service,own-child,black,male,0,0,20,united-states,<=50K
30,private,assoc-acdm,12,married-civ-spouse,transport-moving,wife,white,female,0,1485,37,united-states,>50K
50,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,99,united-states,>50K
41,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50K
21,private,hs-grad,9,never-married,sales,not-in-family,white,female,0,0,33,united-states,<=50K
45,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,45,united-states,<=50K
28,private,hs-grad,9,divorced,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50K
19,private,hs-grad,9,never-married,other-service,unmarried,white,male,0,0,40,united-states,<=50K
26,private,bachelors,13,never-married,prof-specialty,not-in-family,white,male,13550,0,50,united-states,>50K
48,private,bachelors,13,married-civ-spouse,transport-moving,husband,white,male,0,0,45,united-states,>50K
69,private,bachelors,13,widowed,prof-specialty,not-in-family,white,male,0,2282,40,united-states,>50K
41,private,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50K
43,private,bachelors,13,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
28,private,hs-grad,9,never-married,craft-repair,unmarried,white,male,0,0,40,mexico,<=50K
65,local-gov,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,28,united-states,<=50K
31,private,bachelors,13,never-married,exec-managerial,not-in-family,white,male,0,1741,38,united-states,<=50K
28,private,bachelors,13,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
51,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50K
45,private,some-college,10,never-married,craft-repair,not-in-family,white,female,0,0,80,united-states,<=50K
43,private,hs-grad,9,divorced,adm-clerical,other-relative,black,male,0,0,38,united-states,<=50K
31,private,assoc-acdm,12,married-civ-spouse,sales,husband,white,male,0,0,60,united-states,<=50K
31,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,55,united-states,>50K
45,private,some-college,10,married-civ-spouse,craft-repair,other-relative,asian-pac-islander,male,0,0,40,philippines,<=50K
20,private,bachelors,13,never-married,sales,other-relative,black,female,0,0,30,united-states,<=50K
25,private,bachelors,13,never-married,tech-support,unmarried,white,male,0,0,40,united-states,<=50K
36,private,hs-grad,9,widowed,handlers-cleaners,unmarried,white,female,0,0,30,united-states,<=50K
31,private,bachelors,13,never-married,sales,not-in-family,white,male,4101,0,50,united-states,<=50K
56,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,45,united-states,<=50K
26,private,bachelors,13,never-married,sales,own-child,white,male,0,0,18,united-states,<=50K
47,self-emp-not-inc,some-college,10,divorced,exec-managerial,not-in-family,white,female,0,0,65,united-states,<=50K
40,self-emp-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,<=50K
32,private,hs-grad,9,married-civ-spouse,exec-managerial,wife,white,female,0,0,48,united-states,<=50K
34,state-gov,masters,14,never-married,prof-specialty,unmarried,black,female,0,0,24,united-states,<=50K
37,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,55,united-states,<=50K
19,private,assoc-voc,11,never-married,other-service,own-child,asian-pac-islander,male,0,0,16,united-states,<=50K
49,private,9th,5,divorced,handlers-cleaners,not-in-family,white,female,0,0,40,united-states,<=50K
18,private,hs-grad,9,never-married,prof-specialty,own-child,black,female,0,0,25,united-states,<=50K
26,private,assoc-acdm,12,never-married,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50K
82,private,7th-8th,4,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,2,united-states,<=50K
28,private,some-college,10,never-married,craft-repair,own-child,white,male,0,0,50,united-states,<=50K
23,private,hs-grad,9,married-civ-spouse,sales,husband,black,male,0,0,37,united-states,<=50K
19,private,some-college,10,never-married,adm-clerical,own-child,white,male,0,0,40,united-states,<=50K
67,private,hs-grad,9,widowed,handlers-cleaners,other-relative,black,male,0,0,32,united-states,<=50K
43,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,3103,0,40,united-states,>50K
41,private,assoc-acdm,12,never-married,adm-clerical,not-in-family,other,female,0,0,50,united-states,<=50K
37,private,assoc-voc,11,divorced,prof-specialty,unmarried,white,female,0,0,40,united-states,<=50K
20,private,hs-grad,9,never-married,transport-moving,own-child,white,male,0,0,40,united-states,<=50K
47,private,masters,14,separated,exec-managerial,not-in-family,white,male,99999,0,50,united-states,>50K
40,private,hs-grad,9,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,<=50K
39,state-gov,bachelors,13,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50K
24,private,some-college,10,never-married,adm-clerical,own-child,black,female,0,0,20,united-states,<=50K
78,private,hs-grad,9,married-civ-spouse,prof-specialty,husband,white,male,2228,0,32,united-states,<=50K
67,private,assoc-voc,11,widowed,prof-specialty,not-in-family,white,female,0,0,1,united-states,<=50K
49,private,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,45,united-states,>50K
66,private,hs-grad,9,divorced,machine-op-inspct,not-in-family,white,male,0,0,10,united-states,<=50K
52,private,hs-grad,9,never-married,prof-specialty,unmarried,white,female,0,323,40,united-states,<=50K
59,self-emp-inc,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,60,united-states,<=50K
72,private,hs-grad,9,widowed,priv-house-serv,unmarried,white,female,0,0,12,cuba,<=50K
35,federal-gov,hs-grad,9,never-married,adm-clerical,not-in-family,white,male,0,0,40,united-states,<=50K
30,private,bachelors,13,married-af-spouse,exec-managerial,wife,white,female,0,0,40,united-states,>50K
36,private,some-college,10,never-married,other-service,not-in-family,white,male,0,0,40,united-states,<=50K
26,private,hs-grad,9,separated,tech-support,own-child,white,female,0,0,40,united-states,<=50K
23,private,bachelors,13,never-married,other-service,not-in-family,white,male,0,0,35,united-states,<=50K
40,self-emp-not-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
38,private,bachelors,13,never-married,other-service,not-in-family,white,male,0,0,20,united-states,<=50K
63,private,bachelors,13,never-married,adm-clerical,not-in-family,white,male,0,0,40,united-states,<=50K
58,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50K
30,private,hs-grad,9,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,<=50K
38,state-gov,hs-grad,9,never-married,other-service,unmarried,black,female,0,0,40,united-states,<=50K
25,private,5th-6th,3,never-married,adm-clerical,not-in-family,white,female,0,0,33,mexico,<=50K
43,private,assoc-voc,11,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,>50K
21,private,some-college,10,never-married,transport-moving,own-child,white,male,0,0,30,united-states,<=50K
41,local-gov,assoc-acdm,12,never-married,exec-managerial,not-in-family,white,male,0,0,40,united-states,<=50K
75,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,6,united-states,<=50K
29,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,1672,40,united-states,<=50K
52,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,70,united-states,<=50K
47,private,hs-grad,9,divorced,exec-managerial,unmarried,white,female,0,0,45,united-states,<=50K
28,private,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,99999,0,50,united-states,>50K
24,private,some-college,10,married-civ-spouse,priv-house-serv,wife,white,female,0,0,40,united-states,<=50K
30,state-gov,masters,14,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,0,10,china,<=50K
30,private,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,15024,0,60,united-states,>50K
40,private,assoc-acdm,12,divorced,exec-managerial,not-in-family,white,male,0,0,40,united-states,>50K
27,private,some-college,10,never-married,other-service,own-child,white,female,0,0,30,united-states,<=50K
26,private,hs-grad,9,never-married,protective-serv,unmarried,white,male,0,0,44,united-states,<=50K
32,private,hs-grad,9,never-married,other-service,not-in-family,white,male,0,0,37,united-states,<=50K
36,state-gov,bachelors,13,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
26,private,12th,8,never-married,transport-moving,own-child,black,male,0,0,40,united-states,<=50K
25,private,some-college,10,never-married,transport-moving,not-in-family,black,male,0,0,40,united-states,<=50K
39,private,some-college,10,divorced,tech-support,not-in-family,white,female,0,0,40,poland,<=50K
27,private,assoc-voc,11,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,<=50K
24,private,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,50,united-states,<=50K
38,self-emp-inc,bachelors,13,married-civ-spouse,sales,husband,white,male,7688,0,40,united-states,>50K
35,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,55,united-states,<=50K
29,private,assoc-voc,11,never-married,tech-support,not-in-family,white,male,0,0,40,united-states,<=50K
49,private,hs-grad,9,divorced,other-service,not-in-family,black,female,0,0,40,united-states,<=50K
36,private,9th,5,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50K
47,self-emp-not-inc,doctorate,16,married-civ-spouse,craft-repair,husband,white,male,0,0,50,united-states,<=50K
35,private,bachelors,13,never-married,prof-specialty,not-in-family,asian-pac-islander,female,0,0,40,philippines,>50K
38,private,1st-4th,2,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,mexico,<=50K
45,private,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,1902,50,united-states,>50K
19,private,some-college,10,never-married,other-service,own-child,white,female,0,0,15,united-states,<=50K
18,private,hs-grad,9,never-married,handlers-cleaners,own-child,white,male,0,0,22,united-states,<=50K
37,private,prof-school,15,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50K
49,private,bachelors,13,never-married,prof-specialty,unmarried,white,female,0,0,40,united-states,<=50K
33,local-gov,assoc-voc,11,married-civ-spouse,protective-serv,husband,white,male,0,0,48,united-states,>50K
27,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50K
34,local-gov,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,35,united-states,<=50K
54,state-gov,masters,14,married-spouse-absent,prof-specialty,not-in-family,asian-pac-islander,female,0,0,40,china,<=50K
24,self-emp-inc,some-college,10,never-married,transport-moving,own-child,white,male,0,0,40,united-states,<=50K
44,self-emp-not-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50K
48,self-emp-not-inc,bachelors,13,separated,craft-repair,not-in-family,white,male,0,0,50,united-states,<=50K
23,private,hs-grad,9,never-married,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50K
29,private,hs-grad,9,never-married,other-service,own-child,white,male,0,0,38,united-states,<=50K
21,private,assoc-acdm,12,never-married,other-service,own-child,white,female,0,0,9,united-states,<=50K
18,private,12th,8,never-married,other-service,own-child,white,female,0,0,32,united-states,<=50K
18,private,9th,5,never-married,sales,own-child,other,female,0,0,32,united-states,<=50K
29,private,hs-grad,9,never-married,transport-moving,not-in-family,white,male,0,0,40,united-states,<=50K
41,private,hs-grad,9,separated,machine-op-inspct,other-relative,black,female,0,0,40,united-states,<=50K
32,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50K
61,private,10th,6,divorced,other-service,not-in-family,black,female,0,0,24,united-states,<=50K
79,private,hs-grad,9,married-spouse-absent,prof-specialty,not-in-family,white,male,0,0,6,united-states,<=50K
34,private,assoc-acdm,12,divorced,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50K
46,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50K
50,self-emp-not-inc,assoc-voc,11,married-civ-spouse,sales,husband,white,male,0,0,60,united-states,>50K
29,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50K
23,private,some-college,10,never-married,adm-clerical,not-in-family,white,female,3674,0,40,united-states,<=50K
64,private,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
70,local-gov,masters,14,never-married,prof-specialty,unmarried,white,female,7896,0,50,united-states,>50K
28,local-gov,assoc-acdm,12,never-married,adm-clerical,not-in-family,white,female,0,1980,40,united-states,<=50K
51,private,assoc-voc,11,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,greece,<=50K
34,state-gov,bachelors,13,divorced,prof-specialty,not-in-family,white,male,4865,0,55,united-states,<=50K
29,private,hs-grad,9,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50K
49,private,bachelors,13,married-spouse-absent,other-service,not-in-family,asian-pac-islander,male,0,0,40,philippines,<=50K
77,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50K
32,private,hs-grad,9,never-married,other-service,own-child,white,female,0,0,35,united-states,<=50K
27,private,bachelors,13,married-civ-spouse,tech-support,wife,white,female,0,0,40,united-states,>50K
22,private,some-college,10,never-married,sales,not-in-family,white,female,0,0,40,united-states,<=50K
35,local-gov,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,cuba,>50K
42,local-gov,bachelors,13,married-civ-spouse,protective-serv,husband,white,male,0,1902,40,united-states,>50K
35,state-gov,hs-grad,9,divorced,machine-op-inspct,own-child,white,male,0,0,40,united-states,<=50K
62,private,hs-grad,9,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
33,private,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,2635,0,16,united-states,<=50K
45,private,some-college,10,widowed,exec-managerial,unmarried,white,female,0,0,55,united-states,<=50K
19,private,some-college,10,married-spouse-absent,sales,own-child,white,female,0,1602,40,united-states,<=50K
38,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50K
26,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,black,male,0,0,45,united-states,<=50K
29,private,bachelors,13,never-married,exec-managerial,not-in-family,white,female,0,0,45,united-states,<=50K
35,self-emp-not-inc,hs-grad,9,divorced,farming-fishing,not-in-family,white,male,0,0,80,puerto-rico,<=50K
20,private,assoc-voc,11,never-married,other-service,own-child,white,female,0,0,20,united-states,<=50K
43,federal-gov,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50K
69,private,11th,7,married-civ-spouse,prof-specialty,husband,black,male,0,0,45,united-states,<=50K
39,private,hs-grad,9,never-married,transport-moving,own-child,white,male,0,0,40,united-states,<=50K
37,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,portugal,<=50K
28,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
26,federal-gov,bachelors,13,never-married,tech-support,not-in-family,white,male,0,0,40,united-states,<=50K
32,private,some-college,10,divorced,sales,own-child,white,male,0,0,30,united-states,<=50K
43,federal-gov,bachelors,13,divorced,exec-managerial,not-in-family,white,male,0,0,40,united-states,>50K
49,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,30,hungary,<=50K
28,private,7th-8th,4,separated,other-service,own-child,white,male,0,0,60,mexico,<=50K
35,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,2885,0,40,united-states,<=50K
19,private,some-college,10,never-married,prof-specialty,own-child,white,female,594,0,10,united-states,<=50K
35,local-gov,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50K
57,private,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,<=50K
45,private,9th,5,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50K
23,private,hs-grad,9,never-married,sales,not-in-family,white,male,0,1590,48,united-states,<=50K
42,private,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,<=50K
35,private,bachelors,13,married-civ-spouse,other-service,husband,asian-pac-islander,male,0,0,40,vietnam,<=50K
45,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,>50K
28,federal-gov,bachelors,13,never-married,exec-managerial,not-in-family,white,male,0,0,40,united-states,<=50K
64,self-emp-inc,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,0,0,10,united-states,<=50K
44,local-gov,prof-school,15,separated,prof-specialty,unmarried,white,female,0,0,40,united-states,<=50K
59,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,>50K
21,private,some-college,10,never-married,sales,own-child,black,male,0,0,25,united-states,<=50K
29,self-emp-not-inc,assoc-voc,11,never-married,adm-clerical,not-in-family,white,female,2174,0,40,united-states,<=50K
51,self-emp-not-inc,hs-grad,9,never-married,farming-fishing,not-in-family,white,male,8614,0,40,united-states,>50K
22,private,hs-grad,9,never-married,adm-clerical,own-child,white,male,0,0,40,united-states,<=50K
49,private,hs-grad,9,divorced,other-service,unmarried,white,female,0,0,40,united-states,<=50K
53,private,assoc-acdm,12,married-civ-spouse,sales,husband,white,male,0,0,80,united-states,>50K
38,private,some-college,10,divorced,adm-clerical,unmarried,white,female,5721,0,44,united-states,<=50K
23,private,some-college,10,separated,craft-repair,own-child,white,male,0,0,40,united-states,<=50K
20,private,hs-grad,9,never-married,other-service,own-child,white,female,0,0,40,mexico,<=50K
40,private,bachelors,13,divorced,craft-repair,own-child,white,female,0,0,40,united-states,<=50K
27,private,some-college,10,divorced,tech-support,not-in-family,white,female,0,0,40,united-states,<=50K
20,private,hs-grad,9,never-married,other-service,own-child,white,male,0,0,30,united-states,<=50K
37,private,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,20,united-states,<=50K
40,local-gov,hs-grad,9,never-married,other-service,own-child,white,male,0,0,40,united-states,<=50K
28,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,3103,0,40,united-states,>50K
38,self-emp-not-inc,hs-grad,9,separated,other-service,unmarried,white,female,0,0,40,united-states,<=50K
32,federal-gov,assoc-acdm,12,divorced,protective-serv,not-in-family,white,male,2174,0,40,united-states,<=50K
20,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,45,united-states,<=50K
62,state-gov,bachelors,13,married-civ-spouse,adm-clerical,husband,white,male,0,0,38,united-states,<=50K
31,private,some-college,10,never-married,adm-clerical,not-in-family,white,male,0,0,40,united-states,<=50K
31,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,60,united-states,<=50K
62,local-gov,7th-8th,4,widowed,other-service,not-in-family,black,female,0,0,35,united-states,<=50K
43,local-gov,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50K
21,private,some-college,10,never-married,transport-moving,own-child,white,male,0,0,50,united-states,<=50K
30,self-emp-inc,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,4650,0,40,united-states,<=50K
22,private,hs-grad,9,never-married,prof-specialty,unmarried,black,female,0,0,40,united-states,<=50K
18,private,10th,6,never-married,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50K
59,local-gov,masters,14,divorced,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50K
24,self-emp-not-inc,7th-8th,4,married-civ-spouse,transport-moving,husband,white,male,0,1902,40,united-states,>50K
19,state-gov,11th,7,never-married,other-service,own-child,white,male,0,0,30,united-states,<=50K
48,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,4386,0,40,united-states,>50K
32,private,prof-school,15,married-civ-spouse,sales,husband,white,male,15024,0,60,united-states,>50K
33,private,10th,6,never-married,machine-op-inspct,not-in-family,white,female,0,0,45,united-states,<=50K
23,private,bachelors,13,never-married,sales,not-in-family,black,male,0,0,15,united-states,<=50K
33,federal-gov,prof-school,15,never-married,prof-specialty,not-in-family,white,female,0,0,65,united-states,>50K
50,federal-gov,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50K
30,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,43,united-states,<=50K
32,private,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,0,2002,42,united-states,<=50K
39,private,some-college,10,married-civ-spouse,sales,husband,white,male,2829,0,65,united-states,<=50K
23,private,bachelors,13,never-married,prof-specialty,own-child,white,female,0,0,21,united-states,<=50K
32,private,bachelors,13,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50K
57,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50K
22,state-gov,some-college,10,never-married,prof-specialty,not-in-family,white,male,0,0,10,united-states,<=50K
70,private,hs-grad,9,widowed,adm-clerical,unmarried,white,female,0,0,5,united-states,<=50K
34,private,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,84,united-states,>50K
53,private,masters,14,divorced,sales,not-in-family,white,female,0,0,40,united-states,<=50K
37,private,hs-grad,9,divorced,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50K
60,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,1485,50,united-states,>50K
23,private,11th,7,never-married,craft-repair,own-child,asian-pac-islander,male,14344,0,40,vietnam,>50K
32,private,10th,6,married-civ-spouse,transport-moving,husband,white,male,0,0,80,united-states,>50K
25,private,some-college,10,never-married,adm-clerical,not-in-family,white,male,0,0,30,united-states,<=50K
30,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,46,united-states,<=50K
31,private,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,germany,<=50K
19,private,some-college,10,never-married,other-service,own-child,white,male,0,0,35,united-states,<=50K
23,state-gov,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,38,united-states,<=50K
44,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,<=50K
43,private,some-college,10,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,>50K
42,private,some-college,10,never-married,machine-op-inspct,unmarried,black,female,0,0,40,united-states,<=50K
34,self-emp-not-inc,11th,7,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50K
25,private,assoc-voc,11,never-married,tech-support,unmarried,black,female,0,0,40,united-states,<=50K
21,private,some-college,10,never-married,exec-managerial,own-child,white,female,0,0,40,united-states,<=50K
31,private,hs-grad,9,married-spouse-absent,priv-house-serv,other-relative,black,female,0,0,60,jamaica,<=50K
36,local-gov,assoc-voc,11,never-married,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50K
49,self-emp-not-inc,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,65,poland,<=50K
44,private,bachelors,13,divorced,adm-clerical,unmarried,white,female,0,0,32,united-states,<=50K
42,private,assoc-voc,11,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50K
30,private,hs-grad,9,never-married,protective-serv,not-in-family,white,male,0,0,99,united-states,<=50K
36,self-emp-not-inc,bachelors,13,divorced,other-service,unmarried,black,male,0,0,45,united-states,>50K
20,private,some-college,10,never-married,sales,not-in-family,white,male,0,0,25,united-states,<=50K
